Episode: 1: [ 0.27053535  0.03697454 -0.01454803 -0.45932928 -0.92235583 -0.9747702
 -0.55486745 -0.24295755  0.4271715 ] 
Episode: 1771: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1781: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1791: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1801: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1811: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1821: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1831: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1841: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1851: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1861: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 1871: [ 0.2683638   0.03949392 -0.0121803  -0.46147516 -0.9183779  -0.9704849
